Time (s),Memory Usage (MB),Memory Usage (%)
0.00,2504.12,1.10
1.00,2510.98,1.10
2.00,10379.28,2.60
3.00,24932.32,5.40
4.01,39506.07,8.20
5.01,54118.46,11.10
6.01,68745.93,13.90
7.01,83367.31,16.70
8.01,97966.38,19.60
9.01,112577.07,22.40
10.01,127161.72,25.20
11.02,141733.25,28.10
12.02,156312.96,30.90
13.02,170880.90,33.70
14.02,185405.53,36.50
15.02,199881.92,39.30
16.02,214311.63,42.10
17.02,228772.99,44.90
18.02,243113.07,47.70
19.03,252533.66,49.50
20.03,260364.43,51.00
21.03,268237.82,52.60
22.03,276083.12,54.10
23.03,283893.68,55.60
24.03,291682.11,57.10
25.04,299501.59,58.60
26.04,307284.87,60.10
27.04,314991.76,61.60
28.04,322835.97,63.20
29.04,330689.18,64.70
30.04,338544.71,66.20
31.04,346380.84,67.70
32.05,354211.61,69.20
33.05,362023.97,70.80
34.05,369820.32,72.30
35.05,377619.59,73.80
36.05,385464.39,75.30
37.05,393279.79,76.80
38.06,401131.30,78.30
39.06,408991.71,79.90
40.06,416848.12,81.40
41.06,424710.25,82.90
42.06,432580.25,84.40
43.06,440379.55,85.90
44.07,448243.51,87.50
45.07,456097.32,89.00
46.07,463957.99,90.50
47.07,471806.14,92.00
48.07,476925.34,93.00
49.07,476955.54,93.00
50.07,476954.91,93.00
51.08,476955.23,93.00
52.08,476955.05,93.00
53.08,476954.93,93.00
54.08,476954.93,93.00
55.08,476955.00,93.00
56.08,476954.19,93.00
57.09,476954.76,93.00
58.09,476954.75,93.00
59.09,476955.09,93.00
60.09,476955.18,93.00
61.09,476955.08,93.00
62.09,476954.96,93.00
63.09,476954.94,93.00
64.10,476954.94,93.00
65.10,476954.94,93.00
66.10,476955.07,93.00
67.10,476954.82,93.00
68.10,476954.82,93.00
69.10,476954.77,93.00
70.11,476954.86,93.00
71.11,476954.93,93.00
72.11,476954.81,93.00
73.11,476954.81,93.00
74.11,476954.81,93.00
75.11,476954.81,93.00
76.11,476954.64,93.00
77.12,476954.93,93.00
78.12,476954.73,93.00
79.12,476954.89,93.00
80.12,476954.89,93.00
81.12,476954.65,93.00
82.12,476955.06,93.00
83.13,476955.39,93.00
84.13,476955.02,93.00
85.13,476955.02,93.00
86.13,476954.29,93.00
87.13,476954.89,93.00
88.13,476954.89,93.00
89.13,476954.77,93.00
90.14,476954.82,93.00
91.14,476954.82,93.00
92.14,476954.74,93.00
93.14,476954.68,93.00
94.14,476954.56,93.00
95.14,476954.56,93.00
96.14,476954.56,93.00
97.15,476954.56,93.00
98.15,476954.56,93.00
99.15,476954.44,93.00
100.15,476954.43,93.00
101.15,476954.43,93.00
102.15,476954.64,93.00
103.16,476954.51,93.00
104.16,476954.53,93.00
105.16,476954.80,93.00
106.16,476954.80,93.00
107.16,476954.85,93.00
108.16,476954.82,93.00
109.16,476954.82,93.00
110.17,476954.89,93.00
111.17,476955.09,93.00
112.17,476954.55,93.00
113.17,476954.75,93.00
114.17,476954.75,93.00
115.17,476954.70,93.00
116.18,476954.70,93.00
117.18,476954.70,93.00
118.18,476954.74,93.00
119.18,476954.74,93.00
120.18,476954.82,93.00
121.18,476955.14,93.00
122.18,476955.14,93.00
123.19,476955.21,93.00
124.19,476955.05,93.00
125.19,456317.45,89.00
126.19,424119.54,82.80
127.19,388906.35,76.00
128.19,361257.85,70.60
129.20,373115.84,72.90
130.20,384922.18,75.20
131.20,396746.02,77.50
132.20,408486.44,79.80
133.20,418565.39,81.70
134.20,420180.57,82.00
135.20,421441.05,82.30
136.20,423180.90,82.60
137.21,424402.01,82.80
138.21,425685.15,83.10
139.21,426888.20,83.30
140.21,428063.52,83.60
141.21,429289.32,83.80
142.21,430606.66,84.00
143.22,431949.45,84.30
144.22,433177.39,84.50
145.22,434461.69,84.80
146.22,435654.66,85.00
147.22,436876.38,85.30
148.22,438101.54,85.50
149.22,439331.14,85.70
150.23,440550.49,86.00
151.23,441794.80,86.20
152.23,442995.70,86.40
153.23,444144.22,86.70
154.23,445268.87,86.90
155.23,446440.53,87.10
156.24,447647.96,87.30
157.24,448848.46,87.60
158.24,450013.91,87.80
159.24,451127.59,88.00
160.24,452239.32,88.20
161.24,453348.24,88.50
162.24,454505.05,88.70
163.25,455667.07,88.90
164.25,456821.84,89.10
165.25,458052.22,89.40
166.25,459197.27,89.60
167.25,460356.09,89.80
168.25,461506.59,90.00
169.25,462690.77,90.30
170.26,463809.14,90.50
171.26,464606.42,90.60
172.26,465976.35,90.90
173.26,467083.51,91.10
174.26,467949.81,91.30
175.26,468796.62,91.40
176.27,469574.36,91.60
177.27,470384.96,91.80
178.27,471124.84,91.90
179.27,471880.57,92.00
180.27,472594.00,92.20
181.27,473279.87,92.30
182.27,474772.89,92.60
183.28,461056.82,89.90
184.28,427251.94,83.40
185.28,394035.34,77.00
186.28,356707.78,69.70
187.28,357734.47,69.90
188.28,334124.64,65.30
189.29,301656.21,59.10
190.29,264955.53,51.90
191.29,239736.36,47.00
192.29,239736.47,47.00
193.29,239736.25,47.00
194.29,239736.57,47.00
195.29,239736.38,47.00
196.30,239737.41,47.00
197.30,239736.26,47.00
198.30,239736.07,47.00
199.30,239736.53,47.00
200.30,239737.30,47.00
201.30,239736.01,47.00
202.31,239737.03,47.00
203.31,239736.94,47.00
204.31,239736.76,47.00
205.31,239737.27,47.00
206.31,239736.81,47.00
207.31,239737.16,47.00
208.31,239736.88,47.00
209.32,239736.02,47.00
210.32,239736.49,47.00
211.32,239736.62,47.00
212.32,239737.17,47.00
213.32,239736.77,47.00
214.32,239736.38,47.00
215.33,239736.13,47.00
216.33,239736.03,47.00
217.33,239736.41,47.00
218.33,239736.52,47.00
219.33,239736.86,47.00
220.33,239735.83,47.00
221.33,239736.54,47.00
222.34,239736.12,47.00
223.34,239737.75,47.00
224.34,239736.64,47.00
225.34,239736.75,47.00
226.34,239736.69,47.00
227.34,239735.65,47.00
228.35,239735.18,47.00
229.35,239735.70,47.00
230.35,239736.82,47.00
231.35,239736.48,47.00
232.35,239736.37,47.00
233.35,239737.96,47.00
234.35,239736.73,47.00
235.36,239736.54,47.00
236.36,239736.47,47.00
237.36,239736.54,47.00
238.36,239736.65,47.00
239.36,239735.70,47.00
240.36,239735.90,47.00
241.37,226515.50,44.50
242.37,198988.40,39.20
243.37,184120.25,36.30
244.37,161843.22,32.00
245.37,144264.57,28.50
246.37,122068.45,24.20
247.37,121130.30,24.10
248.38,121129.21,24.10
249.38,121129.22,24.10
250.38,121092.08,24.10
251.38,101138.77,20.20
252.38,83387.41,16.70
253.38,64868.72,13.20
254.39,40239.10,8.40
255.39,13986.85,3.30
256.39,2511.63,1.10
257.39,2509.89,1.10
258.39,2509.76,1.10
259.39,2509.75,1.10
260.39,2509.63,1.10
261.40,2509.63,1.10
